Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"5,000 to 9,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Full-stack developer;System administrator,15-17 years,53000.0,,53000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,"C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;DevOps specialist;Engineering manager",24-26 years,180000.0,,180000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,6-8 years,78000.0,Yearly,78000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Product manager,3-5 years,132000.0,Yearly,132000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Data scientist or machine learning specialist,3-5 years,88000.0,,88000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,9-11 years,103000.0,,103000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,0-2 years,70000.0,,70000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data scientist or machine learning specialist;Designer;Front-end developer,0-2 years,67000.0,Yearly,67000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,18-20 years,180000.0,Yearly,180000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer,6-8 years,90000.0,,90000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer,9-11 years,77000.0,Yearly,77000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist;Mobile developer,15-17 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;System administrator,30 or more years,160000.0,,160000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,12-14 years,118000.0,Yearly,118000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist,3-5 years,70000.0,Yearly,70000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,9-11 years,113000.0,Yearly,113000.0
Yes,Yes,United States,"Yes, part-time",Employed part-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A health science (ex. nursing, pharmacy, radiology)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher,6-8 years,2000.0,Monthly,24000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Engineering manager,12-14 years,140000.0,Yearly,140000.0
Yes,No,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist;Front-end developer;Game or graphics developer;Student,6-8 years,500.0,Monthly,6000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Data scientist or machine learning specialist;Educator or academic researcher;System administrator,6-8 years,58000.0,,58000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,9-11 years,68000.0,,68000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator,9-11 years,90000.0,Yearly,90000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;Product manager,6-8 years,175000.0,Yearly,175000.0
Yes,No,United States,No,Employed full-time,Associate degree,I never declared a major,"10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;QA or test developer;System administrator,6-8 years,111000.0,Yearly,111000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,30 or more years,168000.0,,168000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;Front-end developer;Full-stack developer;System administrator,24-26 years,123000.0,Yearly,123000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Designer,21-23 years,160000.0,Yearly,160000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,10 to 19 employees,Data scientist or machine learning specialist,6-8 years,105000.0,Yearly,105000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;DevOps specialist,3-5 years,90000.0,,90000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,20 to 99 employees,Data scientist or machine learning specialist;Educator or academic researcher;System administrator,30 or more years,10000.0,Monthly,120000.0
No,No,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Student,3-5 years,800.0,Monthly,9600.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Designer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,6-8 years,85000.0,Yearly,85000.0
No,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Full-stack developer;Product manager,24-26 years,170000.0,Yearly,170000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Full-stack developer;QA or test developer,3-5 years,54000.0,,54000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Engineering manager;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer;Product manager;QA or test developer;System administrator,30 or more years,125000.0,Yearly,125000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist,6-8 years,103000.0,Yearly,103000.0
Yes,Yes,United States,No,Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer,30 or more years,161000.0,,161000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,0-2 years,70000.0,Yearly,70000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Product manager;QA or test developer,24-26 years,87000.0,,87000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist,6-8 years,60000.0,Yearly,60000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,70000.0,Yearly,70000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,6-8 years,100000.0,,100000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Data scientist or machine learning specialist,9-11 years,105000.0,Yearly,105000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Data scientist or machine learning specialist;Designer;DevOps specialist;Full-stack developer,3-5 years,75000.0,Yearly,75000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,"10,000 or more employees",Data scientist or machine learning specialist,24-26 years,78000.0,Yearly,78000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Embedded applications or devices developer;Engineering manager;Front-end developer;Full-stack developer,12-14 years,104000.0,Yearly,104000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Full-stack developer;QA or test developer;System administrator,15-17 years,112000.0,Yearly,112000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,6-8 years,170000.0,Yearly,170000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Data scientist or machine learning specialist;Embedded applications or devices developer,6-8 years,65000.0,Yearly,65000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer,12-14 years,115000.0,Yearly,115000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Full-stack developer;QA or test developer;System administrator,9-11 years,90000.0,,90000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data scientist or machine learning specialist,6-8 years,125000.0,Yearly,125000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;System administrator,24-26 years,155000.0,Yearly,155000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Data scientist or machine learning specialist,6-8 years,120000.0,Yearly,120000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer,12-14 years,87000.0,Yearly,87000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,90000.0,Yearly,90000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Game or graphics developer,15-17 years,85000.0,Yearly,85000.0
Yes,Yes,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Student,6-8 years,1000.0,Monthly,12000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,110000.0,Yearly,110000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,500 to 999 employees,Data scientist or machine learning specialist;Full-stack developer,12-14 years,140000.0,Yearly,140000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data scientist or machine learning specialist,3-5 years,110000.0,Yearly,110000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,103000.0,Yearly,103000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","5,000 to 9,999 employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,97500.0,Yearly,97500.0
Yes,Yes,United States,No,Employed full-time,,,10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Embedded applications or devices developer;Front-end developer;Full-stack developer;System administrator,3-5 years,86500.0,,86500.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,9-11 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",Fewer than 10 employees,Data scientist or machine learning specialist;Full-stack developer,6-8 years,75500.0,Yearly,75500.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer,18-20 years,180000.0,Yearly,180000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer,15-17 years,120000.0,,120000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Full-stack developer,21-23 years,150000.0,,150000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,9-11 years,195000.0,Yearly,195000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,30 or more years,170000.0,Yearly,170000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"5,000 to 9,999 employees",Data scientist or machine learning specialist,30 or more years,155000.0,,155000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Designer;Front-end developer;Full-stack developer,24-26 years,14326.0,Monthly,171912.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,120000.0,Yearly,120000.0
No,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Product manager,3-5 years,100000.0,,100000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,Mathematics or statistics,20 to 99 employees,"C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Educator or academic researcher;Embedded applications or devices developer;Full-stack developer;Game or graphics developer",30 or more years,450000.0,Yearly,450000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;Product manager;QA or test developer,9-11 years,70064.0,,70064.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer;Educator or academic researcher,12-14 years,80000.0,,80000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist,3-5 years,105000.0,,105000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer,3-5 years,84000.0,,84000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer,3-5 years,180000.0,,180000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Educator or academic researcher,12-14 years,130000.0,Yearly,130000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Mobile developer,24-26 years,110000.0,,110000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data scientist or machine learning specialist,6-8 years,84000.0,Yearly,84000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Front-end developer;Full-stack developer;QA or test developer;System administrator,9-11 years,130000.0,Yearly,130000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Data scientist or machine learning specialist;Engineering manager;Student,30 or more years,186000.0,,186000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Student,6-8 years,136000.0,Yearly,136000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Data scientist or machine learning specialist;Full-stack developer,18-20 years,105475.0,,105475.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist;Full-stack developer;Student,6-8 years,50000.0,Yearly,50000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"10,000 or more employees",Data scientist or machine learning specialist;Educator or academic researcher,9-11 years,145000.0,Yearly,145000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Full-stack developer,9-11 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Data scientist or machine learning specialist;Front-end developer,6-8 years,85000.0,Yearly,85000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;System administrator",18-20 years,150000.0,Yearly,150000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist,3-5 years,75000.0,Yearly,75000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,6-8 years,200000.0,Yearly,200000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist,9-11 years,135000.0,Yearly,135000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Embedded applications or devices developer,9-11 years,70000.0,Yearly,70000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist,15-17 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Full-stack developer;System administrator,15-17 years,100000.0,Yearly,100000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Embedded applications or devices developer;Full-stack developer;System administrator,9-11 years,85000.0,Yearly,85000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","5,000 to 9,999 employees","Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Product manager;QA or test developer;System administrator",21-23 years,305000.0,Yearly,305000.0
Yes,Yes,United States,No,Employed full-time,Associate degree,I never declared a major,"5,000 to 9,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Product manager;QA or test developer;System administrator,15-17 years,96000.0,Yearly,96000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Front-end developer,3-5 years,58000.0,Yearly,58000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,,20 to 99 employees,Data scientist or machine learning specialist;Front-end developer,15-17 years,125000.0,Yearly,125000.0
Yes,Yes,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;Student,6-8 years,19000.0,Weekly,950000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer,15-17 years,162000.0,Yearly,162000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data scientist or machine learning specialist,3-5 years,146000.0,Yearly,146000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,100000.0,,100000.0
